# overall_metrics
,overall
accuracy,0.6885638297872341
macro_f1_score,0.5176403094977259
macro_recall,0.517495541029276

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6545589325426242,0.23529411764705882,0.6690547078526238,0.7208471326477253
recall,0.5655422715627668,0.013937282229965157,0.7568676981370382,0.7336349121873337
f1-score,0.6068033444049937,0.026315789473684213,0.7102572966566251,0.7271848074556005
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2649,5,836,1194
cycle,173,12,411,265
pt,544,22,7191,1744
drive,681,12,2310,8271

# prob_derivative
,walk,cycle,pt,drive
age,-0.007657572862710775,0.004884634711705482,0.03340426883907878,-0.030631331531885107
distance,-0.3469014253341666,0.0064473505346669575,0.36706778928108585,-0.02661371705426128
dur_walking,-0.5016362077582446,-0.044262921915221486,0.06079629561789945,0.48510283046199465
dur_cycling,0.08526046749490082,0.011316385748121214,-0.004365556796270178,-0.09221129611977863
dur_pt_access,0.033520670403393744,0.003145788538642579,-0.07426121876836118,0.037594760788517874
dur_pt_inv,0.017499344722157466,0.011720342073585186,-0.09531660433249983,0.06609691632796519
dur_pt_int_total,0.0121663691393156,-0.005382012191572132,-0.008184001201634155,0.0013996443420447517
pt_n_interchanges,0.002308758839384056,-0.012389336069965498,-0.11119604029579712,0.12127661722667728
dur_driving,-0.027230403010183656,0.025614239528924998,0.24795109153745357,-0.24633492786364192
cost_transit,0.05987043874577528,0.009364917450691505,-0.06175708653587236,-0.0074782686675807794
cost_driving_total,-0.0038113146798972315,-0.00979127873005511,0.0076611430798396475,0.005941449583241508

# elasticity
,walk,cycle,pt,drive
age,0.5754349647373637,-0.0063700746126588385,-0.08679465191255002,0.1345625569333147
distance,-2.3599008254336464,-1.2218281612088013,1.2963271576015716,-0.5633858382862595
dur_walking,-3.7140656079164933,-4.3503663608171665,-0.8624991072461006,1.0958739956242938
dur_cycling,0.9670765199405709,1.4942758906111426,0.20017177913065326,-0.05160316466516931
dur_pt_access,0.5070159272217185,-0.5828659158614755,-1.0541556672436723,0.3871902386693733
dur_pt_inv,1.012105531443631,0.7164973461718291,-0.5640857868084135,0.6234708967046402
dur_pt_int_total,-0.14277095662078695,-0.4760773952674932,-0.29912928645144626,0.06799241615550748
pt_n_interchanges,-0.0086961908024799,-0.13178103559411364,-0.16558127492764965,-0.0004295749272472484
dur_driving,0.5318746647386174,2.1872675988032557,1.6586161202289604,-1.224267515980755
cost_transit,0.5707540006898439,0.7304482009566412,0.04222415239024875,-0.15843098108898682
cost_driving_total,-0.10994878946801047,-0.10226317694983339,0.05188892649619072,-0.34930404028808015

# market share
,mean
walk,0.16574281454086304
cycle,0.017555836588144302
pt,0.40100252628326416
drive,0.4156931936740875

# value of time of driving
,VOT_drive
VOT_drive,26.883199393617957

# value of time of pt
,VOT_pt
VOT_pt,-74.61478491602547

