# overall_metrics
,overall
accuracy,0.6762917933130699
macro_f1_score,0.5374182870885528
macro_recall,0.5398630623257527

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6097033981536044,0.12140575079872204,0.6881819108799837,0.7290663208595777
recall,0.6626814688300597,0.08826945412311266,0.710346279339017,0.6981550470108213
f1-score,0.6350895140664962,0.10221923335574983,0.6990884607416614,0.7132759401903036
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3104,96,525,959
cycle,191,76,323,271
pt,747,310,6749,1695
drive,1049,144,2210,7871

# prob_derivative
,walk,cycle,pt,drive
age,0.017261125840330988,0.02096484283533033,-0.01513421400579304,-0.023091754536053766
distance,-0.48481158745871983,0.03826381381864558,0.44822822008565094,-0.0016804448434618944
dur_walking,-0.5991188711006864,-0.13574446342280494,0.049980790640250634,0.6848825446420731
dur_cycling,0.01983350713762466,0.01376020995746118,0.05758461578590721,-0.09117833252960096
dur_pt_access,0.0316842522502862,0.008533416528714314,-0.06681690779319249,0.026599238428009486
dur_pt_inv,0.007767470547315686,0.043988498354692505,-0.0692285200075348,0.01747255187995847
dur_pt_int_total,0.05247611652608285,-0.006618371530377791,-0.03411224855533666,-0.011745497326734914
pt_n_interchanges,-0.012369890967501164,-0.021870490851621637,-0.056622583391826145,0.09086296476000706
dur_driving,0.07138655517042021,0.05289626225817616,0.12245453607127502,-0.24673735339648492
cost_transit,0.019389069493902927,0.029719622864023066,0.014450090263521948,-0.06355878254993085
cost_driving_total,-0.04089559365149565,-0.03904298423737815,-0.06845824323367274,0.14839682177298796

# elasticity
,walk,cycle,pt,drive
age,0.09395132592510676,0.12867511843655582,-0.669981607122282,0.26614496623523043
distance,-1.1011539864711761,0.20502502597484717,2.4624359124914093,-0.893147871740696
dur_walking,-3.581075695144517,-4.354696257412066,-1.6432203505000873,1.8011519374698324
dur_cycling,0.6138939744600299,0.9104875503129576,0.7415703969270064,-0.2900046392162787
dur_pt_access,0.3522941609993235,-0.17706510067543071,-1.571669852800634,0.4658492030673831
dur_pt_inv,0.1260992398367432,0.27542215890168137,-0.6759160464981046,0.459243514858394
dur_pt_int_total,-0.11909196940007054,-0.27731824318199394,-0.4994228007261618,0.115572626112546
pt_n_interchanges,0.08896303873170529,0.19000983204949082,-0.23064883317240656,0.07918129299487948
dur_driving,0.9295799536803337,1.4920153394958393,1.630754350312418,-1.5757081731111577
cost_transit,-0.349064464255854,-0.28698028903415174,0.33947706009121126,-0.6449149855310327
cost_driving_total,-0.16303223746731965,-0.13222236426570436,-0.07566029238352981,-0.11269483240925693

# market share
,mean
walk,0.18838347494602203
cycle,0.047977130860090256
pt,0.3677327632904053
drive,0.39589813351631165

# value of time of driving
,VOT_drive
VOT_drive,-111.22334811190512

# value of time of pt
,VOT_pt
VOT_pt,21.75450183487577

