# overall_metrics
,overall
accuracy,0.5604103343465046
macro_f1_score,0.48124086030624974
macro_recall,0.526284112054352

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5125786163522013,0.06730273336771532,0.6725850509063819,0.7326848249027237
recall,0.7307856532877882,0.30313588850174217,0.5701505104725818,0.5010643959552954
f1-score,0.6025347650061609,0.11014982063726525,0.617146112218741,0.595132743362832
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3423,370,404,487
cycle,217,261,226,157
pt,1128,1539,5417,1417
drive,1910,1708,2007,5649

# prob_derivative
,walk,cycle,pt,drive
age,0.020950350120363167,0.006659574849600641,0.0227404943948756,-0.05035042732864534
distance,-0.5753271189180211,0.11905413471755524,0.26067224319702614,0.1956007329900729
dur_walking,-0.46606524799177224,-0.17555488709165196,0.1426879376325926,0.4989321895953101
dur_cycling,0.09806676617089496,-0.0935599834261195,0.028853997332275057,-0.03336078017183892
dur_pt_access,0.011083447946405584,0.06830762296658191,-0.07871477341504954,-0.0006762933325479443
dur_pt_inv,0.03503076808778749,0.0869538043220683,-0.11126577505948103,-0.010718792166493922
dur_pt_int_total,-0.07979885196140198,0.17931764383221566,-0.08522429336005816,-0.014294497485451986
pt_n_interchanges,0.05359746340498136,-0.10298424390770873,-0.016066835598781044,0.06545361628605732
dur_driving,0.0830577399113813,0.07225552447551202,0.1511111069781978,-0.3064243707618726
cost_transit,0.04046475660401668,-0.01648618446840873,-0.04524033372004129,0.02126176097885461
cost_driving_total,0.04646023991996622,-0.08086746176127745,0.01635498862344236,0.01805223285285676

# elasticity
,walk,cycle,pt,drive
age,-0.3125936498944793,-1.0574988371577887,-0.6124751446463442,0.7518461700946866
distance,-3.2502313506390568,1.1977826145461605,0.7660519157145693,-0.30157844491412433
dur_walking,-2.0308779782412167,-3.991553488279335,0.6961413242422492,2.2304624726627114
dur_cycling,1.1203678638467214,-0.9841607814163273,0.49977023299758155,-0.5615293087096033
dur_pt_access,-0.07691897500579056,1.5806286920123098,-1.8931865916884834,0.0738613666657986
dur_pt_inv,-0.1413130562540323,0.5352661549488684,-1.3181990239303376,0.303600125347855
dur_pt_int_total,-0.6552272401054272,-0.07148711346581478,-0.4935416370720859,0.2424622937339585
pt_n_interchanges,0.8655542846116581,-0.029212877723136077,0.23429828377285433,-0.0467163218671049
dur_driving,0.5398687178422436,0.6836872807870485,1.6629424757804012,-2.7732011084269423
cost_transit,-0.5575951236421528,0.19924576894849508,-0.24121403453566048,-0.7586008722930733
cost_driving_total,-0.08562942440958678,-0.06818093626750994,-0.09824746978800122,-0.24681122259186414

# market share
,mean
walk,0.23820190131664276
cycle,0.15769028663635254
pt,0.31051579117774963
drive,0.29357877373695374

# value of time of driving
,VOT_drive
VOT_drive,392.6818422481001

# value of time of pt
,VOT_pt
VOT_pt,4.223438280785644

