# overall_metrics
,overall
accuracy,0.6855243161094224
macro_f1_score,0.5362722837270275
macro_recall,0.5372535303030187

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.610647596344855,0.12441314553990611,0.714926679798643,0.7151509981231872
recall,0.6562766865926558,0.06155632984901278,0.6876118303336491,0.7435692744367571
f1-score,0.6326404610002059,0.08236208236208237,0.7010032727077633,0.7290833188380588
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3074,77,519,1014
cycle,185,53,345,278
pt,729,192,6533,2047
drive,1046,104,1741,8383

# prob_derivative
,walk,cycle,pt,drive
age,0.01422502463618938,0.010955843948365193,0.028322101699664006,-0.05350297295041695
distance,-0.48011409192617865,0.0222301285010094,0.4378902136275413,0.01999375403348485
dur_walking,-0.5322263658953564,-0.057278963328464313,0.011326966863954957,0.5781783640753859
dur_cycling,-0.0026489518731401397,0.0059784747517696735,0.08006953857125446,-0.0833990615171357
dur_pt_access,0.028652607559007164,0.01576772755147219,-0.06567285959231182,0.021252523700881053
dur_pt_inv,-0.026061171556695215,0.009257434385922567,-0.06407732365187625,0.08088106270832261
dur_pt_int_total,0.017931135155368365,0.03222467054476967,-0.02228557179547965,-0.027870234698129506
pt_n_interchanges,0.00207217630057299,-0.0036545513325731234,-0.06932500568639456,0.0709073804023747
dur_driving,0.07091054245675994,0.016205348340689225,0.11536167081535381,-0.20247756074579853
cost_transit,0.015976401780314287,0.020399591478302035,-0.02781061981120958,-0.008565373983389309
cost_driving_total,-0.056086693623461414,-0.03374527171307279,-0.08574281719278028,0.1755747826348298

# elasticity
,walk,cycle,pt,drive
age,0.36542269610847156,1.027259881258419,0.16087534861028174,-0.14658693238833498
distance,-1.5583936892973238,-0.1770060520566053,2.2958417967200972,-0.9315181243292444
dur_walking,-2.2653786686073043,-3.337646981710907,-1.7635758690209227,1.6785839865940724
dur_cycling,0.0688347613258453,0.4124063017410243,0.8209834870017375,-0.4578027525311141
dur_pt_access,0.5274038987689782,0.12839797534921205,-1.424410816473222,0.3498066454629018
dur_pt_inv,0.24794135577964438,-0.14171152666171125,-0.7740581484895639,0.6430449458319849
dur_pt_int_total,0.02482089797745836,-0.004212887459501229,-0.33290897589890667,0.03988469359596101
pt_n_interchanges,0.0571158932079955,0.048910841651334955,-0.2456034338613873,0.05289198820783189
dur_driving,0.31457112864361736,0.6654202850256319,1.6017556290321953,-1.4187416029426112
cost_transit,-0.043511696666440634,0.08687705673168597,-0.07304814571734912,-0.22731946383419635
cost_driving_total,-0.2919017107261825,-0.29331726772113514,-0.10326340663683595,-0.3488404099853166

# market share
,mean
walk,0.18966752290725708
cycle,0.034601517021656036
pt,0.346987247467041
drive,0.42873698472976685

# value of time of driving
,VOT_drive
VOT_drive,132.41682897118827

# value of time of pt
,VOT_pt
VOT_pt,27.657404785423836

