# overall_metrics
,overall
accuracy,0.7099164133738601
macro_f1_score,0.5105990296521424
macro_recall,0.5073247423860784

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.7637732857709076,0.16666666666666666,0.6753976486860305,0.7320127690922485
recall,0.411400512382579,0.0023228803716608595,0.8223344911061994,0.7932410856838744
f1-score,0.5347578742888859,0.004581901489117984,0.7416583606246144,0.7613979822059512
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,1927,3,1226,1528
cycle,84,2,473,302
pt,239,5,7813,1444
drive,273,2,2056,8943

# prob_derivative
,walk,cycle,pt,drive
age,0.006905974030038253,-0.0008854043258361154,0.0417265857116365,-0.047747155491490514
distance,-0.11527744255647258,-0.0035700530259686536,0.18761380481986636,-0.06876630895312313
dur_walking,-0.30320066536329665,-0.07864324273462307,-0.02598150699959377,0.407825416253332
dur_cycling,-0.01666221888541101,0.005869348953607476,0.09226291115889489,-0.08147004134966211
dur_pt_access,0.004997860811622738,0.010629854586560832,-0.061070718477840534,0.04544300341206123
dur_pt_inv,0.0077288165087025,0.017184405086291613,-0.07136389551394527,0.0464506736480249
dur_pt_int_total,0.03251778414721173,0.004052828673259041,-0.062198780098072254,0.025628167038880982
pt_n_interchanges,-0.009325076494237085,-0.00019755438693957414,-0.0034847957489362036,0.013007426580745265
dur_driving,0.03550978975646966,0.03719194001408446,0.1870409064446898,-0.2597426364489885
cost_transit,0.03969430474443051,0.007377791887600636,-0.06559833845209567,0.018526241117329173
cost_driving_total,0.013406752755942062,0.003275826183308624,0.008533279870594799,-0.02521585924621301

# elasticity
,walk,cycle,pt,drive
age,-0.24044971686456773,-0.5084462560231947,-0.20990769012369687,0.1227733526266791
distance,-0.37498598486629015,-0.07995144828872972,0.5051817439828501,-0.3488607021210252
dur_walking,-1.938476222886011,-1.6644954976054676,-0.7866624748085627,0.9464979545553047
dur_cycling,0.1337514873422548,0.27145324543785154,0.47965384572792613,-0.2857509100028592
dur_pt_access,0.2570679290155273,0.3000189847840896,-0.6074894494022138,0.2992590897342064
dur_pt_inv,0.14813196804245404,0.2923421569498456,-0.3638283811635454,0.2426508401182753
dur_pt_int_total,-0.018545997101062365,-0.05004474488042841,-0.131130337600997,0.09343147667942654
pt_n_interchanges,0.019647436562677305,0.03946874466096433,0.0009456340311583677,0.02110809975145631
dur_driving,0.6094351203200398,0.8246648085988452,0.915555615064483,-0.7238749707981869
cost_transit,0.13840583241057436,0.11119928549986087,-0.21532380124056563,-0.011209968923749784
cost_driving_total,0.007980337304837706,0.001129701326291757,0.03544428549949395,-0.11475302126856139

# market share
,mean
walk,0.12607654929161072
cycle,0.05617116391658783
pt,0.4163997173309326
drive,0.4013524055480957

# value of time of driving
,VOT_drive
VOT_drive,125.84094336592221

# value of time of pt
,VOT_pt
VOT_pt,-37.58307787721764

