# overall_metrics
,overall
accuracy,0.6505319148936171
macro_f1_score,0.5464736611455554
macro_recall,0.580125744951973

# class_specific_metrics
,walk,pt,cycle,drive
precision,0.5883159157101251,0.7632415254237288,0.08530961791831357,0.774633653360283
recall,0.7331340734415029,0.6066729817913904,0.3008130081300813,0.6798829164449175
f1-score,0.6527896587776828,0.6760100862018412,0.13292276109828075,0.7241721385044169
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,pt,cycle,drive
walk,3434,287,432,531
pt,805,5764,1454,1478
cycle,178,203,259,221
drive,1420,1298,891,7665

# prob_derivative
,walk,pt,cycle,drive
age,-0.003403421948332974,0.007722805312039327,-0.0037615193512132916,-0.0005578631395794278
distance,-0.07934117571322613,0.05695535413384776,-0.003303069348455872,0.02568889073581169
dur_walking,-0.08419232640754021,0.02968289702263923,-0.021507031382883752,0.07601646075999673
dur_cycling,-0.008741064926566516,0.020131477636998258,-0.003807191507290249,-0.007583221647045047
dur_pt_access,-0.0024386237625920715,-0.023917894634182566,0.013507775629894053,0.012848742718845368
dur_pt_inv,-0.0040885320835434245,-0.02034549226224731,0.019905515014538713,0.004528509167094723
dur_pt_int_total,0.0017697525101566475,-0.007517119273769229,-0.00016603147835377117,0.005913398556637651
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,-0.011365010168871273,0.05663972719262138,0.05043124673392251,-0.09570596445344662
cost_transit,0.00805391021211967,-0.002937644142492662,0.007404625496113166,-0.01252089180031446
cost_driving_total,0.021995535020433023,0.05138282228223237,-0.040130680955517486,-0.03324767643149259

# elasticity
,walk,pt,cycle,drive
age,-0.02599392123285065,0.17020981888209347,-0.143458588316718,0.2343536773626393
distance,-0.04021975942775213,0.142898287627236,-0.025174551503188206,0.06752708776963792
dur_walking,-0.04194422474418785,0.08262246149663775,-0.10887017883236079,0.21865478955366605
dur_cycling,0.021183269062211775,0.10607175234356603,-0.00864034667843224,0.011599794015739726
dur_pt_access,0.04076901661852195,-0.14278166283917879,0.11770381398941901,0.13237123306300563
dur_pt_inv,0.04205236246223036,-0.08481334491668752,0.09731962943461592,0.12846717818461273
dur_pt_int_total,-0.001436766106157525,-0.016757353436972783,0.00017951700685302184,0.025366842293746347
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.027537694398668926,0.3013878473566036,0.24396542882164282,-0.24041884388719062
cost_transit,0.037905902311102434,0.04269523124631729,0.04204230237993811,-0.03730518791954202
cost_driving_total,-0.0032339207173855927,0.14007803648458794,-0.0715537040651425,-0.04063642323529453

# market share
,walk,pt,cycle,drive
market_share,0.20969602465629578,0.2802250385284424,0.21417666971683502,0.29590028524398804

# value of time of driving
,VOT_drive
VOT_drive,23.799698071614387

# value of time of pt
,VOT_pt
VOT_pt,16.563142438807684

