# overall_metrics
,overall
accuracy,0.681306990881459
macro_f1_score,0.5224030824483727
macro_recall,0.5247839579572906

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5995145631067961,0.6955600296704462,0.13930348258706468,0.7135798262054864
recall,0.6327924850555081,0.6908746447742343,0.032520325203252036,0.7429483767961682
f1-score,0.6157041960947237,0.6932094202133278,0.05273069679849341,0.7279680166869459
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2964,812,17,891
cycle,636,6564,120,2181
pt,172,371,28,290
drive,1172,1690,36,8376

# prob_derivative
,walk,cycle,pt,drive
age,0.005318651227776473,0.04044288694307076,0.008320952025595182,-0.05408248954300071
distance,-0.35587408126829956,0.3374381100808467,-2.4418407310509548e-05,0.018460393626206915
dur_walking,-0.5966215549953933,0.021400338752158066,-0.056943974723628554,0.6321651933739101
dur_cycling,0.118092310549936,-0.008922308460618922,0.03147371897411209,-0.1406437213325742
dur_pt_access,0.04369008712994183,-0.062336878615727634,0.0024115204371460038,0.016235269779836137
dur_pt_inv,0.012834392821536785,-0.07078610930805658,0.010266198127900217,0.047685519634934045
dur_pt_int_total,0.030279422527274096,0.0099721967351444,0.007975004227693918,-0.0482266231527013
pt_n_interchanges,-0.0021544558539527948,-0.019824419602998865,-0.004699112514705572,0.02667798714106239
dur_driving,-0.01591158225893141,0.17461251897817873,0.017005985354701176,-0.1757069215115286
cost_transit,0.049983374306131284,0.0034167241916773176,0.001261136045304432,-0.054661233774662504
cost_driving_total,0.026725087173101722,-0.025773090769246394,0.002360365892125382,-0.0033123617332996257

# elasticity
,walk,cycle,pt,drive
age,0.4347054065633337,0.10949195661064312,-0.5206884635799574,-0.23396972805572758
distance,-1.957667384444102,1.2165600594593855,-1.3420048585813649,-0.8886398839005727
dur_walking,-3.665603385941188,-1.6705804450715545,-5.101759935494521,1.7956629015849344
dur_cycling,1.3656976610469158,0.43661083335559114,2.195534002112784,0.1246342907916443
dur_pt_access,0.5369026701718943,-1.046969250400094,-0.49869034318342387,0.26038208958089815
dur_pt_inv,0.43985974142072154,-0.5140254264092045,0.42647259224684486,0.2741329538277282
dur_pt_int_total,0.12291305725984368,-0.302432135971792,-0.06696148693281564,0.1309249807774859
pt_n_interchanges,-0.06784786813043281,-0.11706028266803342,-0.16441932837583698,0.06191853612104006
dur_driving,0.4774919204489066,1.5523827601511273,1.5410947318449166,-1.3141383833435893
cost_transit,0.09416013352318003,0.19943738194079672,0.17888025920855033,-0.5211036016579249
cost_driving_total,-0.10392172261430953,0.04451435815891406,-0.27006894636453277,-0.4003254018583816

# market share
,mean
walk,0.19076772034168243
cycle,0.36080247163772583
pt,0.0209274310618639
drive,0.42749902606010437

# value of time of driving
,VOT_drive
VOT_drive,28.84966861672339

# value of time of pt
,VOT_pt
VOT_pt,4.052770389350745

