# overall_metrics
,overall
accuracy,0.6831306990881459
macro_f1_score,0.5201021513489404
macro_recall,0.5114521991229573

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.68385460693153,0.12027491408934708,0.6810766721044046,0.6974431818181818
recall,0.5181468830059778,0.04065040650406504,0.7030838859067466,0.7839276210750399
f1-score,0.5895785254463743,0.06076388888888888,0.6919053291211352,0.7381608619393635
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2427,44,923,1290
cycle,137,35,379,310
pt,446,141,6680,2234
drive,539,71,1826,8838

# prob_derivative
,walk,cycle,pt,drive
age,-0.018037718471759216,0.007738171444654018,0.036677680555568755,-0.026378134777388065
distance,-0.3125930701500051,0.007059437608354765,0.35488743802487044,-0.04935380243283603
dur_walking,-0.4446760459827071,-0.06622126006084102,-0.04238767512365776,0.5532849848694219
dur_cycling,0.06172739709001876,0.02345867672661791,0.018674195379775774,-0.10386027003389846
dur_pt_access,0.028450391458382396,0.0016618714561759014,-0.06830966342335916,0.03819739965948247
dur_pt_inv,-0.015125420256790431,0.013974082736191053,-0.061424860661032074,0.06257619976393744
dur_pt_int_total,0.03347093371293135,-0.0031442478681637616,-0.013459670437894386,-0.01686701625780691
pt_n_interchanges,-0.0030343349979576736,-0.012194432950318789,-0.04310173870875631,0.05833050707256204
dur_driving,-0.03331577083114422,0.026126830397540025,0.1913990589923646,-0.18421011827672584
cost_transit,0.05735035046209627,0.009933556942641959,-0.034692772727289024,-0.03259113381560695
cost_driving_total,0.024017599966775244,-0.015334440444958415,-0.09357283321986241,0.08488967271363833

# elasticity
,walk,cycle,pt,drive
age,-0.23242139719144167,-0.1273530803423442,-0.3522189763890599,0.09763326658087444
distance,-1.7647204017675433,-1.7382200853118543,1.3538038110810018,-1.1170134020461384
dur_walking,-2.5920349053379916,-5.138272696853863,-1.8497823817903327,1.6220876932246537
dur_cycling,0.9319321687144916,1.865988536984643,0.5292799886207269,0.02385728470084588
dur_pt_access,0.2897658400856958,-0.25932113118583,-1.0495855295849867,0.4140220096254221
dur_pt_inv,0.5704932413880124,0.873652588326672,-0.4684909187841941,0.2655619878772314
dur_pt_int_total,0.04954662620720134,-0.137014402620362,-0.2572273177562872,0.029082099967292583
pt_n_interchanges,-0.16467803489067492,-0.37512347220604997,-0.21839282427239773,0.09925497119119414
dur_driving,0.015589039523206632,1.748753401626196,1.6266739960371808,-1.1561523960340219
cost_transit,0.5646241599226101,1.275906412532505,0.3705208853316924,-0.28964973544262795
cost_driving_total,-0.03237056047279664,-0.21970938230623704,0.011027546714408767,-0.3813483501053964

# market share
,mean
walk,0.14386318624019623
cycle,0.021788984537124634
pt,0.37372976541519165
drive,0.4606160819530487

# value of time of driving
,VOT_drive
VOT_drive,-5.328275871757959

# value of time of pt
,VOT_pt
VOT_pt,2.953577395173164

