# overall_metrics
,overall
accuracy,0.6936170212765957
macro_f1_score,0.5423244283699362
macro_recall,0.5395022679377608

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6478842832469776,0.1495601173020528,0.7099162910495814,0.7140244409344085
recall,0.6406917164816396,0.059233449477351915,0.6962425007893905,0.761841405002661
f1-score,0.6442679261485617,0.0848585690515807,0.703012912482066,0.7371583057975367
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3001,60,473,1150
cycle,173,51,347,290
pt,712,174,6615,2000
drive,746,56,1883,8589

# prob_derivative
,walk,cycle,pt,drive
age,0.001799183148198678,0.005960251942753402,0.023455401393395414,-0.031214836248727004
distance,-0.5021751001914636,0.010861984551675901,0.4454700539787926,0.04584306464746938
dur_walking,-0.514406425163482,-0.05402694844602872,-0.03170011072521649,0.6001334883483962
dur_cycling,0.014724111709294295,-0.013375423076424267,0.09829054063227141,-0.09963923053437101
dur_pt_access,0.0032587157273710637,0.006579333083659282,-0.05371944022127325,0.04388139199922655
dur_pt_inv,-0.002415270597532651,0.02351483929829513,-0.07094268840184163,0.0498431200135935
dur_pt_int_total,-0.0006177293599827783,-0.0025078472505437577,-0.02741233183068223,0.030537908094154517
pt_n_interchanges,0.005046266236572603,-0.001326511999083791,-0.06450072094540663,0.060780966109087224
dur_driving,0.10553288890254384,0.029744696399323586,0.13284512860678893,-0.26812271396770543
cost_transit,0.027230859067710566,0.022575806078839456,-0.028536901276878385,-0.02126976404980798
cost_driving_total,-0.031086522388274786,-0.02058214786461732,-0.05264004188039009,0.10430871243785848

# elasticity
,walk,cycle,pt,drive
age,-0.9356276171908453,-1.236135851434631,-0.2827313333310509,-0.03458186998875589
distance,-1.5335869931531967,-0.29821210490908734,2.3547076475839517,-1.1776023256514512
dur_walking,-2.1561330745975176,-2.4458140787511997,-1.6841442271544913,1.918482898958584
dur_cycling,0.06823360973728157,-0.49347164554426187,0.9328837888017978,-0.5386471275317294
dur_pt_access,0.05579618497566389,-0.22045735201471342,-1.4209364763453045,0.49371382964560584
dur_pt_inv,0.5695865304721462,1.076388807853283,-0.595113300364507,0.8437669246256445
dur_pt_int_total,-0.09836360135482565,-0.09314092970765159,-0.3661633023801204,0.05147514992822434
pt_n_interchanges,-0.007550443810498039,0.20884805865959494,-0.18757507075509972,0.010863743409011173
dur_driving,0.5558276324213847,0.4917013625287822,1.4241677800356347,-1.741504433705227
cost_transit,0.09176458564821052,-0.21443555630040742,0.01749995449771834,-0.31418745706765033
cost_driving_total,-0.18498549066315495,-0.19206614271047595,-0.07249958768697785,-0.24402954751749467

# market share
,mean
walk,0.17725935578346252
cycle,0.023398322984576225
pt,0.3564848303794861
drive,0.4428533613681793

# value of time of driving
,VOT_drive
VOT_drive,-15.463667027749615

# value of time of pt
,VOT_pt
VOT_pt,4.121204899512922

