# overall_metrics
,overall
accuracy,0.7155775075987841
macro_f1_score,0.5172559941102729
macro_recall,0.512190084778248

# class_specific_metrics
,walk,pt,cycle,drive
precision,0.7619565217391305,0.7273010920436818,0.0,0.6984650695739492
recall,0.44897523484201535,0.7360277865487843,0.0,0.8637573177221929
f1-score,0.5650188070929607,0.7316384180790961,0.0,0.7723667512690354
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,pt,cycle,drive
walk,2103.0,915.0,1.0,1665.0
pt,306.0,6993.0,2.0,2200.0
cycle,98.0,424.0,0.0,339.0
drive,253.0,1283.0,0.0,9738.0

# prob_derivative
,walk,pt,cycle,drive
age,-0.0012971988362907,0.019096762206063923,0.0006956184550810014,-0.018495182016460006
distance,-0.034037285358614944,0.019947818402094055,0.006224883535379193,0.007864583275838673
dur_walking,-0.037253786001102136,-0.0038372636452493484,-0.001883667497956941,0.04297471708843624
dur_cycling,-0.0010444172537793447,0.011854445164519853,0.005001154734965482,-0.015811182873709185
dur_pt_access,0.004295773512348094,-0.032297830342259276,0.005260570399965363,0.022741486374132237
dur_pt_inv,-0.0034232896537313073,-0.012307369793765628,0.008180693200993872,0.00754996632240106
dur_pt_int_total,0.000669267711331257,-0.017056483901115735,0.001284957713124241,0.015102258159932639
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.017645372852533293,0.07895316551566557,0.019857012578993093,-0.11645555104812282
cost_transit,0.017864454314551154,0.002437090910374621,0.010587659910180682,-0.030889205279969703
cost_driving_total,0.02307408386465407,-0.0017111269727739626,-0.0031815829935924913,-0.01818137386994874

# elasticity
,walk,pt,cycle,drive
age,-0.046098511267304916,0.13552543905104758,-0.07672744156446637,0.1740573167582685
distance,-0.01617766228817661,0.04410750272161967,0.0672159775644056,0.04125284997642547
dur_walking,-0.024769755088337862,-0.020280671744798008,-0.020600158431581642,0.11987623312137541
dur_cycling,0.03995934336739628,0.06852879348681118,0.07327002278100447,0.00675033964499466
dur_pt_access,0.0900586860929614,-0.17954073658817196,0.09275402979918419,0.14622478225039795
dur_pt_inv,0.04574399930815161,-0.08616884940247418,0.0833612429474559,0.1168164198822599
dur_pt_int_total,0.00856302482865389,-0.06338283433131137,0.012831582462181355,0.073818605219853
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.12205760222523634,0.4968651114643338,0.25489586343749476,-0.22197534418699202
cost_transit,0.07673175229263611,0.10187626713902918,0.12816887595312146,-0.050408130814649364
cost_driving_total,0.03849496089389889,0.0371932714142778,-0.003450631866016056,0.011349059680317804

# market share
,walk,pt,cycle,drive
market_share,0.14691853523254395,0.33555588126182556,0.08408809453248978,0.4334375560283661

# value of time of driving
,VOT_drive
VOT_drive,-25.533275381511565

# value of time of pt
,VOT_pt
VOT_pt,51.44250425698773

