# overall_metrics
,overall
accuracy,0.38677811550151975
macro_f1_score,0.297420619294829
macro_recall,0.43519558686198767

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.36598279285241564,0.04647058823529412,0.570515832002255,0.0
recall,0.8264304013663536,0.27526132404181186,0.6390906220397853,0.0
f1-score,0.5073062053600682,0.07951685958731756,0.6028594122319301,0.0
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3871,360,453,0
cycle,356,237,268,0
pt,1703,1726,6072,0
drive,4647,2777,3850,0

# prob_derivative
,walk,cycle,pt,drive
age,-0.02449672022493816,0.03312387509853337,-0.008640549028533047,1.3396997344309023e-05
distance,-0.2864860016744471,0.11743866524056856,0.16875286885637472,0.0002944713062162554
dur_walking,-0.21561441514562613,-0.15668557380783396,0.3721403638856886,0.0001596304855452154
dur_cycling,0.00729462669170709,-0.027601141137564386,0.02025638219083435,5.013362125716658e-05
dur_pt_access,0.04388609594179526,0.048170672790785095,-0.09196847847473565,-8.829011437362633e-05
dur_pt_inv,-0.0071845640992778135,0.11487444182138463,-0.10772154609649545,3.1666862819403637e-05
dur_pt_int_total,0.0774401909044292,0.04680310295814837,-0.12416154948344849,-8.174605578265246e-05
pt_n_interchanges,0.04961298515216126,-0.05213755333321481,0.0026590703462749895,-0.0001345023207572635
dur_driving,-0.042937635062764386,-0.027472669048166753,0.0702581074159419,0.00015219586236970027
cost_transit,0.10258311457313926,-0.06291268114694938,-0.03956165782791249,-0.00010877686798530087
cost_driving_total,-0.021186574540839227,0.030242457226277133,-0.009031969929004083,-2.391363117787607e-05

# elasticity
,walk,cycle,pt,drive
age,-0.5312240479769236,0.05084893245714643,-0.07595829817514087,-0.270058158671597
distance,-1.015761087111048,1.1024539545317735,0.3009788372499334,0.30930127435797816
dur_walking,-0.36382833772315404,-2.434414009977644,1.6461147723311824,-0.745171702459779
dur_cycling,0.06865459322085982,-0.15435008749820972,0.1924790668421555,0.06309963197900845
dur_pt_access,0.14918330168438043,0.4265222099605779,-1.3077300610235443,-0.49622775888963
dur_pt_inv,-0.12424176607315952,0.6032864265311673,-0.6695480895142434,-0.0525801861539152
dur_pt_int_total,-0.010427419987823773,0.09421325093632477,-0.21597873281775046,-0.08299371072804472
pt_n_interchanges,-0.2831442518468481,0.18927171108692964,-0.05312390522597796,-0.0903653689613773
dur_driving,-0.17047106205798207,0.017864546632915913,0.3415311627081549,0.1257856540191131
cost_transit,-0.1415851827963911,-0.2996408685664963,-0.14469689686713225,-0.38468424513818994
cost_driving_total,-0.06978103241734576,-0.08712440262860507,0.025893009387195055,-0.07827590076448279

# market share
,mean
walk,0.35844507813453674
cycle,0.23808178305625916
pt,0.4028435945510864
drive,0.0006281459936872125

# value of time of driving
,VOT_drive
VOT_drive,81.18145432447406

# value of time of pt
,VOT_pt
VOT_pt,-1.1302746194479765

