# overall_metrics
,overall
accuracy,0.6637158054711246
macro_f1_score,0.5502329367849044
macro_recall,0.5752703366141696

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5970899946111011,0.08111031002162941,0.7802896981183159,0.7700151057401813
recall,0.7096498719043552,0.2613240418118467,0.6066729817913904,0.7234344509490864
f1-score,0.6485220954053263,0.12379642365887206,0.6826148744670772,0.7459983536083418
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3324,460,292,608
cycle,175,225,230,231
pt,851,1289,5764,1597
drive,1217,800,1101,8156

# prob_derivative
,walk,cycle,pt,drive
age,0.01012526961811263,0.028543572651014117,-0.0022569330476756543,-0.03641190842102915
distance,-0.21061930024468264,0.08700201944756666,0.06848485165888175,0.05513242560612831
dur_walking,-0.28431117614487106,-0.29988686862699254,0.1805675969828786,0.4036304468220153
dur_cycling,-0.027149530999787355,0.01689328829887788,0.06064696344395055,-0.05039072078031141
dur_pt_access,-0.0006969875294123621,0.04108750003704441,-0.07444329660034701,0.034052783376178036
dur_pt_inv,-0.04601998038949033,0.09219137448181429,-0.07316189000496162,0.026990494735496365
dur_pt_int_total,0.11770653661994496,0.3488190865380905,-0.17460336261317375,-0.29192226317502634
pt_n_interchanges,-0.0529622964273805,-0.18993810451291568,0.052336964095381674,0.19056343673392365
dur_driving,0.03376779395109171,0.029268065513016216,0.1499744050266124,-0.2130102665300537
cost_transit,0.04692547562181443,-0.06259710183363945,-0.03862859817615868,0.05430022714248629
cost_driving_total,0.09095735766113403,0.25400431143810465,-0.07054981115581602,-0.27441185937755536

# elasticity
,walk,cycle,pt,drive
age,-0.07168598499416096,-0.6646481666220895,0.05111034984918053,0.24184986176593498
distance,-0.5217999651927806,0.29597204948992506,0.1403827502065095,0.0710742392478469
dur_walking,-1.6297126778786408,-2.686050536930285,0.3611655029467647,1.1054414019689176
dur_cycling,-0.035223849358788105,0.1704836934275071,0.2531778613040294,-0.1762410868987182
dur_pt_access,0.030757240067877462,0.26595069420124046,-0.6725159698438571,0.23662515104178275
dur_pt_inv,0.010783581863712859,0.520406584409325,-0.42178812180286956,0.18844808883201616
dur_pt_int_total,0.0907038118597307,0.3643515817646273,-0.17048125363433353,-0.016880944309005202
pt_n_interchanges,-0.31901866487670694,-0.5850110623994788,0.036729148577039385,0.19720529283863394
dur_driving,0.2265482455752121,0.34824056189033253,0.7541279069312242,-0.8847727229345929
cost_transit,-0.20611651424471583,-0.5942973060355563,0.05977697830619145,0.25733166791773326
cost_driving_total,-0.0299851572635129,-0.2515827284430312,0.13954134827702894,-0.06917419934040311

# market share
,mean
walk,0.18387144804000854
cycle,0.1697184294462204
pt,0.3001260459423065
drive,0.34628525376319885

# value of time of driving
,VOT_drive
VOT_drive,43.958782800369974

# value of time of pt
,VOT_pt
VOT_pt,105.61460773318781

