# overall_metrics
,overall
accuracy,0.6881458966565349
macro_f1_score,0.5208026488513315
macro_recall,0.5152004723745247

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6624450762470923,0.7006722868423861,0.1791044776119403,0.6920284257685771
recall,0.5471818958155422,0.6910851489316914,0.027874564459930314,0.7946602802909349
f1-score,0.5993218753653689,0.695845697329377,0.04824120603015075,0.7398018166804294
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2563,810,13,1298
cycle,518,6566,65,2352
pt,129,371,24,337
drive,659,1624,32,8959

# prob_derivative
,walk,cycle,pt,drive
age,0.008150506735705951,0.029599177280714577,0.0036351428810629583,-0.04138482806704363
distance,-0.3239142769035114,0.32773943493797214,0.0013638954547247294,-0.005189052657891249
dur_walking,-0.4754074166294465,0.01436550781323814,-0.04892293757845584,0.5099648451069438
dur_cycling,0.056557576621736945,0.03526661239547202,0.016487463810060707,-0.10831165301132156
dur_pt_access,0.030581907011990872,-0.051202744028889656,0.004753598645974734,0.015867238337781846
dur_pt_inv,-0.0068836993172177365,-0.08635111034869497,0.010878936141690908,0.08235587182083257
dur_pt_int_total,0.033441032139008176,-0.011665929570301383,-0.0008885224579092771,-0.020886579677835436
pt_n_interchanges,0.02350042652989709,-0.0491541889928081,-0.007560488255717709,0.03321425188806099
dur_driving,-0.013945773368436066,0.18904538338753776,0.026011781345282526,-0.20111139058935487
cost_transit,0.034316597610026874,-0.02839873797741234,0.015033134919726934,-0.020950993511412812
cost_driving_total,0.006843582144832046,-0.031676345135721845,-0.00808926134866795,0.032922025302014345

# elasticity
,walk,cycle,pt,drive
age,-0.09372948767605763,-0.3861925248367929,-0.9704273518194061,0.040918165903117885
distance,-1.8647862576638161,1.4438206822214263,-0.7534013308101052,-0.829162071003564
dur_walking,-3.1123050856082735,-1.5732326189730093,-4.246363992042318,1.3084371449092793
dur_cycling,0.9121994950696536,0.5590297888933362,1.382532913824682,-0.2419066418128532
dur_pt_access,0.7043407240103599,-0.859501261292082,-0.04481526616177064,0.2533659397027498
dur_pt_inv,0.8835237916467509,-0.6714685565661096,0.661003703275591,0.5042857867623058
dur_pt_int_total,0.053157474041476485,-0.3681746591956274,-0.2054075396314187,0.10836918562009762
pt_n_interchanges,-0.04049800511861022,-0.1995131670382898,-0.2407468088544159,0.06776798776660795
dur_driving,0.22989818167812892,1.8258101686614352,1.925521059272067,-1.1646814460275872
cost_transit,0.12221220529604822,0.03225890303919843,0.33560024058169413,-0.032338326746966614
cost_driving_total,-0.05886469206718477,-0.0076048079800809035,-0.11198483230874468,-0.2874952059063675

# market share
,mean
walk,0.15892434120178223
cycle,0.3511506915092468
pt,0.02042648382484913
drive,0.4694945216178894

# value of time of driving
,VOT_drive
VOT_drive,65.43442936040947

# value of time of pt
,VOT_pt
VOT_pt,3.7179419298538847

