# overall_metrics
,overall
accuracy,0.7
macro_f1_score,0.5690318291662054
macro_recall,0.5797460405293604

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6204614220877458,0.11223021582733812,0.7610825944937004,0.7644986449864498
recall,0.700469684030743,0.18118466898954705,0.686664561625092,0.7506652474720596
f1-score,0.6580425190533493,0.1386050644158152,0.7219609362031759,0.7575187969924811
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3281.0,243.0,401.0,759.0
cycle,171.0,156.0,285.0,249.0
pt,709.0,669.0,6524.0,1599.0
drive,1127.0,322.0,1362.0,8463.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.002675419374837032,-0.01053183083463628,0.014405658736841413,-0.0011984090413804352
distance,-0.08848964936995471,-0.015212339915788341,0.05120031023999495,0.052501679189167795
dur_walking,-0.07704679071184115,-0.02395251087981632,0.017238256442797733,0.08376104497840446
dur_cycling,0.0012903651476060512,-0.014650363404830257,0.01892334077815261,-0.0055633423152265556
dur_pt_access,-0.0011965912623469006,0.004064940998011314,-0.024351848221773578,0.021483498226219616
dur_pt_inv,-0.006290508469873725,0.009941179871067523,-0.010604749621957281,0.006954078420986614
dur_pt_int_total,0.008065035579078455,0.03244829693335747,-0.01730011152898758,-0.023213220951190928
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.002486476553176892,0.009420729115121616,0.08112691689336395,-0.09303412256213811
cost_transit,0.030535512654235503,0.05793197037224854,0.002261439539398712,-0.09072892255682177
cost_driving_total,0.05387423107505105,0.10639252052276027,-0.008543999558530021,-0.15172275214511854

# elasticity
,walk,cycle,pt,drive
age,-0.07099401582552087,-0.2790209288290163,0.12271783492121557,0.2972537421588005
distance,-0.051615486698966914,-0.045403652113320044,0.1295585135995493,0.09479713917571483
dur_walking,-0.0570815097673742,-0.13073298566604896,0.05157721078536153,0.2007528780083778
dur_cycling,0.026266024996236797,-0.03350805356978794,0.09030884679339359,0.02733855102639357
dur_pt_access,0.025180426137322503,0.02102529838303621,-0.15318995989161444,0.1877380051279952
dur_pt_inv,0.06244575099547226,0.06445175633366859,-0.07112694005015745,0.12001173795672383
dur_pt_int_total,0.0001673711997626241,-0.0028368639249226027,-0.034001452236335404,0.04811237491499965
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.05128583376511204,0.06852141430983398,0.4532023052576531,-0.2376736998380682
cost_transit,0.10715198289626152,0.21017575126703297,0.10564026070607559,-0.10465730146346947
cost_driving_total,0.06620700342916129,0.1419126280734659,0.08229173643487073,-0.026411676213693128

# market share
,mean
walk,0.20242489874362946
cycle,0.14941856265068054
pt,0.30928662419319153
drive,0.3388696014881134

# value of time of driving
,VOT_drive
VOT_drive,7.555848551091681

# value of time of pt
,VOT_pt
VOT_pt,0.8693808784138476

