# overall_metrics
,overall
accuracy,0.6917933130699088
macro_f1_score,0.5253209310665714
macro_recall,0.5237989321126337

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6455813953488372,0.16666666666666666,0.6947259565667011,0.7111420157068062
recall,0.5926558497011102,0.024390243902439025,0.7070834648984318,0.7710661699485541
f1-score,0.6179875333926982,0.0425531914893617,0.7008502425538574,0.7398927568303686
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2776,15,793,1100
cycle,168,21,388,284
pt,570,66,6718,2147
drive,786,24,1771,8693

# prob_derivative
,walk,cycle,pt,drive
age,-0.0076996528184630365,-0.0010400908026506736,0.05344076181633795,-0.04470101976017301
distance,-0.3290612340504326,-0.005760780737436012,0.33249540569345853,0.0023266114812621674
dur_walking,-0.4805874427968471,-0.02685832845050074,-0.019956343875596718,0.5274021175038499
dur_cycling,0.0937192290685318,0.01314049819618272,0.030230961111328104,-0.13709068884822442
dur_pt_access,0.03165382004410736,0.004089155767392712,-0.042120320669333376,0.0063773430053565205
dur_pt_inv,-0.029429398382986104,0.010202708313598898,-0.06022118185990889,0.07944787204504511
dur_pt_int_total,0.019289536592856336,0.0010421266633674682,-0.02685200152946494,0.006520339220276989
pt_n_interchanges,0.01951656718698796,-0.005766919941045709,-0.05900003656876466,0.045250388924801606
dur_driving,-0.0023812637778590036,0.02041154979800752,0.18215220518533126,-0.20018248946367606
cost_transit,0.0336642956385597,0.007397365314475982,-0.016315585705663264,-0.024746073371398707
cost_driving_total,-0.015523989221129048,-0.013442902322847082,-0.07275761456739245,0.10172450451675462

# elasticity
,walk,cycle,pt,drive
age,-0.12256326073667202,-0.6995849205375954,-0.20373311856380963,-0.2515724724369919
distance,-1.9107512789583172,-1.9015236806585798,1.2320451175507872,-0.7893046461275336
dur_walking,-2.4564418338622533,-3.655575161525126,-1.6042693712143803,1.5361090301783737
dur_cycling,0.859076916315544,1.6814009391569038,0.6784740011375691,-0.25184208670856795
dur_pt_access,0.5413748250856857,0.09907695709293399,-0.7304733847908184,0.31003698534659907
dur_pt_inv,0.03684006530345093,0.014027188572476406,-0.6889968914724005,0.4509845066924554
dur_pt_int_total,-0.21006779510222973,-0.660323808263539,-0.43645679355308264,-0.006524172740553913
pt_n_interchanges,0.06347760612396129,0.03397823931939144,-0.06214672409842082,0.12795174386489233
dur_driving,0.5843259794439858,2.1200469844370833,1.670810168860701,-1.0760930203728565
cost_transit,0.12505688282287092,0.1835197009731302,0.26045147527096807,-0.26198547916740517
cost_driving_total,-0.21730917657591747,-0.3718263027220271,-0.049276234911976115,-0.3799071661906792

# market share
,mean
walk,0.17496560513973236
cycle,0.016945019364356995
pt,0.36437126994132996
drive,0.4437132775783539

# value of time of driving
,VOT_drive
VOT_drive,-2.475225898019335

# value of time of pt
,VOT_pt
VOT_pt,22.95582840238568

