# overall_metrics
,overall
accuracy,0.5506838905775076
macro_f1_score,0.4811001361690179
macro_recall,0.5219414484570191

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5711266117099979,0.06446913130577309,0.6932399676811204,0.7253228782287823
recall,0.5768573868488471,0.41114982578397213,0.5418377012946005,0.5579208799006564
f1-score,0.5739776951672864,0.1114609571788413,0.608258994505819,0.6307028978241251
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2702,971,310,701
cycle,136,354,195,176
pt,830,2018,5148,1505
drive,1063,2148,1773,6290

# prob_derivative
,walk,cycle,pt,drive
age,-0.009911492059301499,0.013048277406615664,0.021469843854813164,-0.024606631082053698
distance,-0.4093678323618461,0.18749680570672367,0.14204520607892565,0.07982582036024903
dur_walking,-0.4376103491873744,-0.3972598450725244,0.19170215990718065,0.6431680297783807
dur_cycling,0.14059331939844932,-0.03785283256925012,0.01271550580023515,-0.11545599274969444
dur_pt_access,-0.02279395073685458,0.07517112409697756,-0.08353884267996667,0.03116167269446009
dur_pt_inv,-0.06005407744594245,0.13631575820715408,-0.05669403278985159,-0.019567645896001098
dur_pt_int_total,-0.04879220172010361,-0.00563012585694898,-0.03968225423757978,0.09410458141547483
pt_n_interchanges,0.07916294258244942,-0.11373864466690257,-0.022927724522481853,0.05750342537364917
dur_driving,0.09044395680293814,0.11701408772382588,0.10823228373615335,-0.31569032435537403
cost_transit,0.030639556778128796,0.035131619172373556,-0.016463974417548807,-0.0493072017666066
cost_driving_total,0.08552639958726006,-0.06412556008049738,0.03386618782361858,-0.055267025847029166

# elasticity
,walk,cycle,pt,drive
age,-0.7135676387790855,-0.7133612917131376,-0.1664298849409725,1.3932625924048405
distance,-1.2566999053994308,0.9376786228172591,1.3882123049464663,-0.7671880836389009
dur_walking,-3.656757662007631,-6.1446544248372765,1.127130680585467,4.251969190773876
dur_cycling,0.893147485907258,0.15212000632842568,-0.2492068012040958,-1.212363818416064
dur_pt_access,-0.15366234269813547,1.5766933251762003,-2.55033741251254,0.3734351376259263
dur_pt_inv,-0.8649222271557354,0.671795133994503,-1.5562421959030874,-0.02266058256898427
dur_pt_int_total,-0.22178264686524568,0.27830685732728155,-0.4397129946235193,0.5287341692780858
pt_n_interchanges,-0.04075071966267828,-0.31042632909660745,-0.3237146493522944,-0.4872835529242107
dur_driving,0.5670966874541522,1.0044440554918306,2.0080239255224046,-3.375801435294618
cost_transit,0.24217777010634448,0.6793629685678668,0.005928447027848398,-1.304533244318554
cost_driving_total,-0.14857933698087086,0.04013532833201232,0.02301811978280081,-0.28480490864694546

# market share
,mean
walk,0.17764541506767273
cycle,0.21361446380615234
pt,0.28351911902427673
drive,0.3252074420452118

# value of time of driving
,VOT_drive
VOT_drive,-2.03145669351363

# value of time of pt
,VOT_pt
VOT_pt,-16.657790792304045

