,data,method,accuracy,macro_f1_score,macro_recall,f1_walk,f1_cycle,f1_pt,f1_drive,VOT_drive,VOT_pt,market_share_walk,market_share_cycle,market_share_pt,market_share_drive
2.3_ADASYN_5_dnn_mean,2.3_ADASYN,dnn,0.6766831306990881,0.5524495989857224,0.5701147850697538,0.6380524775761413,0.13019915319406458,0.6830872071576254,0.7584595580150589,1.4542535475021787,-2.088838933382241,0.18705906271934508,0.1459465056657791,0.2914779126644135,0.3755161255598069
2.3_ADASYN_6_dnn_mean,2.3_ADASYN,dnn,0.6732484802431611,0.5504726000984029,0.570855867236821,0.6407769584484824,0.12383870291612607,0.6801971368711722,0.7570776021578318,-30.295444437985932,10.31865617006091,0.1917458012700081,0.15429688319563867,0.2852673545479775,0.36868959069252016
2.3_ADASYN_7_dnn_mean,2.3_ADASYN,dnn,0.6630015197568389,0.5473364911426081,0.5717148990862155,0.6399818930395262,0.1245503556759012,0.6808339124325165,0.7439798034224889,5.340367047591366,13.380390394404161,0.18976055830717087,0.16535626575350762,0.3019017666578293,0.34298133552074433
2.3_ADASYN_8_dnn_mean,2.3_ADASYN,dnn,0.6740653495440729,0.5502737722645819,0.5691094408582309,0.6432979136560476,0.12191344066106645,0.6819085189595392,0.753975215781674,7.936703107773403,33.30186383595561,0.18957197070121765,0.1508355237543583,0.2944319531321525,0.3651597201824188
2.3_ADASYN_9_dnn_mean,2.3_ADASYN,dnn,0.6693047112462006,0.5494017950267038,0.5698946097186949,0.6376991387887501,0.12634138820710694,0.6817418672575233,0.7518247858534349,14.907405551336984,-1.9303986329014144,0.18579439371824266,0.158954606205225,0.2946746975183487,0.3605754405260086
Original_dnn_mean,Original,dnn,0.7292211246200608,0.5401564264352009,0.5430775464981578,0.6432060245701611,0.0,0.7403014541383566,0.7771182270322858,134.5901030909682,-5.717786239303801,0.16730404049158096,0.027925261110067368,0.3560462296009064,0.44872502982616425
1.1_RandomUnderSampler_10_xgb_mean,1.1_RandomUnderSampler,xgb,0.6525835866261397,0.5510291639182485,0.5868552620621672,0.6559097978227061,0.1400739827373613,0.6839587296097758,0.7241741455031506,44.1951108620273,-86.17397095824639,0.208873063325882,0.21646301448345184,0.2807672619819641,0.29389679431915283
1.1_RandomUnderSampler_1_xgb_mean,1.1_RandomUnderSampler,xgb,0.6416793313069907,0.5450502556834892,0.5860974170468002,0.650358337314859,0.14185720951936534,0.6752046783625731,0.7127807975371588,19.28020139224865,11.459590686752202,0.20871368050575256,0.21790339052677155,0.2811048924922943,0.2922794818878174
1.1_RandomUnderSampler_2_xgb_mean,1.1_RandomUnderSampler,xgb,0.6520896656534954,0.5477504423930758,0.5822905235498971,0.6506115483075757,0.13803921568627447,0.6763636363636362,0.7259873692148177,3.6791666450987455,11.969002898652663,0.2097827643156052,0.21418720483779907,0.2801805138587952,0.29585137963294983
1.1_RandomUnderSampler_3_xgb_mean,1.1_RandomUnderSampler,xgb,0.6483282674772035,0.5472459978846463,0.5854252446896684,0.6517806670435274,0.14278429372768994,0.6744496718359762,0.7199693589313928,-13.935719192868236,-82.59366241691777,0.2084679752588272,0.21466313302516934,0.28291478753089905,0.29395201802253723
