,data,method,accuracy,macro_f1_score,macro_recall,f1_walk,f1_cycle,f1_pt,f1_drive,VOT_drive,VOT_pt,market_share_walk,market_share_cycle,market_share_pt,market_share_drive
0,1.1_RandomUnderSampler,MNL,0.002611791531538047,0.001860410993834502,0.0016043544923159516,0.00205850748340589,0.002226955144571162,0.005472528603863954,0.006950002793788159,6.902076425542432,1.1511409950442335,0.0014435388000515641,0.0009196069593872595,0.0018991317748983895,0.0019645335735833155
1,1.1_RandomUnderSampler,dnn,0.0251555273992143,0.011396463364853181,0.00611837542337073,0.01783432151242961,0.005468099830603505,0.027158186465539438,0.02158197443427085,2410.8861405366556,12.161914565441323,0.020869715610264874,0.0369552186540106,0.02311433049721387,0.02442353732072804
2,1.1_RandomUnderSampler,xgb,0.0034838788896005887,0.0016470253514428875,0.0025440091737996074,0.0032992911428063446,0.0046428314255451235,0.004149961447269435,0.004635605829413257,58.6009738207508,48.94580112662334,0.0017218566811716474,0.001289916417286782,0.0013308693902547226,0.0016151984079981786
3,1.2_One-SidedSelection,MNL,0.004203363406304333,0.007780032211709998,0.007589430434613229,0.027733100415239187,0.0,0.003341073565896396,0.002030291422002123,2.475065028799365,0.4138256322381168,0.0026982891805856133,0.0005162057344410133,0.0017936955809148229,0.002955054076049386
4,1.2_One-SidedSelection,dnn,0.010601695154792349,0.002944421616631409,0.0043777625940009295,0.006504619182363203,0.006061684007299655,0.014164537639698726,0.0,1120.414769994785,74.50261613181125,0.02581427169602439,0.02869935394836214,0.02232544296683996,6.829207040031914e-05
5,1.2_One-SidedSelection,xgb,0.0028002204246219994,0.0031610838589931993,0.003294405673158067,0.007908895663416758,0.0007286354055687513,0.004141947482111923,0.001605181475467523,509.79076239167455,40.32780660439683,0.002230530602642521,0.0002705120341663014,0.001308455857343733,0.003269347855420421
6,1.3_NeighbourhoodCleaningRule,MNL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.3_NeighbourhoodCleaningRule,dnn,0.004910360504084663,0.007691362387200319,0.011048424594140693,0.014291482703792852,0.01888295914234441,0.007563720870278256,0.011497096378598297,797.7843981718073,24.534250852278333,0.022226034417945167,0.007785206599327001,0.035452472864610486,0.029332706465272793
8,1.3_NeighbourhoodCleaningRule,xgb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.1_RandomOverSampler,MNL,0.000697314682223666,0.0005418856348739522,0.0005701633550925068,0.0006977959263380991,0.0006949686073396918,0.0009576302646522292,0.0004922560272933582,0.6562599934629493,0.15131047818420473,0.00037343216149189515,0.0001935243849321008,0.0002460279824098097,0.0003618673679112318
10,2.1_RandomOverSampler,dnn,0.006524476817293982,0.012296589241673976,0.01662367782801408,0.04214204781397432,0.026927121147494744,0.007478978488100291,0.013560758385429117,49.92044688629766,34.36553051043344,0.030342441804461332,0.006920236091171859,0.03527766699073061,0.042395933698099825
11,2.1_RandomOverSampler,xgb,0.0010743392813975258,0.0011039369906849972,0.001058524294342517,0.001305315996060073,0.002979920170695539,0.0013479296065908356,0.0011306331495744876,39.67786922979171,44.860607098664104,0.00018121264490622118,0.0007192041682785398,0.0003299006459811552,0.0006304352330275128
12,2.2_SMOTENC,MNL,0.0005734299644438008,0.000287752196373314,0.00035438545434747227,0.00020499015245252923,0.0006149763698854033,0.0008243587603668872,0.0008888427056027454,0.3388572732999905,0.09498585692706993,0.0003289287248543009,0.00045153437459747437,0.0002884153074884922,0.0003052971003954461
13,2.2_SMOTENC,dnn,0.00671421374312062,0.008018720011898517,0.011073462893367097,0.025790294240201045,0.02418991824527442,0.01149160814376721,0.011276309600601156,79.78913701428837,13.313644018494225,0.02454238904395521,0.005097579440887456,0.03604796452557702,0.03812618030189176
14,2.2_SMOTENC,xgb,0.0011184318758867282,0.0013815451314191211,0.0015191477060664,0.0014567005542697803,0.003398884348808603,0.0010718047928620989,0.0008304764708955011,29.93199283768127,31.571840895787922,0.0002721880008280504,0.000412287513411618,0.00030032612165617077,0.00041712718687438786
15,2.3_ADASYN,MNL,0.0002571888808580308,0.0002049385669501085,0.000296074753821095,0.00016375758155208372,0.0003633181113146689,0.0004290946091532504,0.0004260441484077175,0.15622571430161236,0.06385297277188752,6.579590929318319e-05,0.00013118462303264293,9.85550792787369e-05,0.00018188962639657287
16,2.3_ADASYN,dnn,0.007157904132197839,0.006226288166360429,0.010638604988093239,0.02454119732499843,0.020521561901930628,0.006091626883477428,0.011331577778777696,41.861139923013965,21.16887385684655,0.022079682616615297,0.007334985593521976,0.024294640849408355,0.03297065972379084
17,2.3_ADASYN,xgb,0.0005625296220461006,0.0008516385074364137,0.0009323443723172227,0.0013273933907868506,0.0035458878312900344,0.0006870864602918022,0.0005708309782375048,6.15132384467465,20.831066713230356,0.00020395792641236544,0.0004550255866893792,0.0002496472316140598,0.0002532393357509602
18,Original,MNL,,,,,,,,,,,,,
19,Original,dnn,,,,,,,,,,,,,
20,Original,xgb,,,,,,,,,,,,,
