# overall_metrics
,overall
accuracy,0.7111702127659575
macro_f1_score,0.5261621973432371
macro_recall,0.5261989565571501

# class_specific_metrics
,walk,pt,cycle,drive
precision,0.6650497829971918,0.7214270898153909,0.07017543859649122,0.7204817380352645
recall,0.5561485909479078,0.7321334596358278,0.004645760743321719,0.8118680149015434
f1-score,0.6057435181955587,0.7267408452175729,0.008714596949891067,0.7634498290099258
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,pt,cycle,drive
walk,2605,756,25,1298
pt,556,6956,27,1962
cycle,143,423,4,291
drive,613,1507,1,9153

# prob_derivative
,walk,pt,cycle,drive
age,-0.003475552369569158,0.01988900235337128,0.001490925612821686,-0.017904375537316917
distance,-0.04500365447214728,0.03256110829239921,0.00565392181489948,0.006788624540984915
dur_walking,-0.06753085333645309,0.006430005938549402,0.008081924275649245,0.05301892319881744
dur_cycling,0.029679130398477617,-0.009095402784783171,0.0016918628604790477,-0.022275590834926508
dur_pt_access,0.011884768418629866,-0.02712355565016878,0.0022416927827109976,0.012997094486758242
dur_pt_inv,0.010700894871793277,-0.018480973588453697,0.008323917295573196,-0.0005438386679909608
dur_pt_int_total,0.005938269327405192,-0.018767122738895785,0.000856233642282766,0.011972619690711766
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.002462410157708561,0.16514906671022275,0.005885730840344432,-0.1734972078328141
cost_transit,0.006112797714726324,-0.013941220641527825,0.002230543627944407,0.0055978789656877664
cost_driving_total,-0.0004179479593339021,0.016497772539770392,0.004368776973171487,-0.020448601203124098

# elasticity
,walk,pt,cycle,drive
age,0.028232542101474484,0.2819911739227672,0.15343595476049213,0.5461247187476375
distance,0.029579811398346464,0.09759929513612176,0.08349161668181929,0.11920176524033003
dur_walking,-0.014633582464520917,0.006444705087663022,0.057597856791836044,0.12331453104225401
dur_cycling,0.19756876744830112,0.0040945788612076406,0.02217645197641168,0.06572899863008674
dur_pt_access,0.2340229085772086,-0.08889782546648675,0.07026585455162418,0.2634048056964515
dur_pt_inv,0.15845984418212405,-0.03090895936549465,0.12382295541571235,0.2334891667864346
dur_pt_int_total,0.018775525785855774,-0.04251320673924542,0.004670613556407591,0.059705641486593145
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.10870810356142602,1.4776355166138564,0.11110460333679897,-0.2584795293407263
cost_transit,0.05667728942925823,0.05892953562760967,0.05921231022660429,-0.005548179969643013
cost_driving_total,0.05760185818439663,0.04692755207335535,0.42106138485711153,0.2852517027297641

# market share
,walk,pt,cycle,drive
market_share,0.17792844772338867,0.34727731347084045,0.06003066897392273,0.41476330161094666

# value of time of driving
,VOT_drive
VOT_drive,24.243036157832584

# value of time of pt
,VOT_pt
VOT_pt,586.9444182449208

